notes,main,date,Cooperating Partner,Province,Island,Area (Reported),mapper,Location/Village,followup distribution,HH,shelter tool kit,tarpaulin,collapsible jerry can (10L),jerry (20L),hygiene kit,bucket,kitchen set,sleeping mat,blanket,solar lamp,mosquito net,rice (25kg),EC food (for 1 hh 1 day),drinking water (litres),Adm1_Name,Adm1_Code,Adm2_Name,Adm2_Code,Adm3_Name,Adm3_Code,Stle_Name,Stle_Code
Shepherd Islands,VRCS,3/22/15,IFRC,Shefa,Buninga,,buninga,,,23,23,60,46,,31,,31,31,50,30,,,,,SHEFA,VUT0105,Buninga,VUT0105037,Tongariki (Buninga),VUT0105037037,,#N/A
Efate - Port Vila,VRCS,3/31/15,IFRC,Shefa,Efate,Port Vila,portvila,Avec,,70,70,69,140,,70,,,,70,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,#N/A
Efate - Port Vila,VRCS,4/3/15,IFRC,Shefa,Efate,Port Vila,portvila,Behind Stade.,,15,15,15,15,,15,,,,15,,,,,,,,,,,,,
Rural Efate,VRCS,3/25/15,French Red Cross,Shefa,Efate,North Efate,buraoloa,Buraoloa,,7,,,,7,,,,17,,,16,,,,,,,,,,,
Rural Efate,VRCS,3/23/15,French Red Cross,Shefa,Efate,North Efate,ekipe,Ekipe,,24,24,48,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/28/15,French Red Cross,Shefa,Efate,North Efate,ekipe,Ekipe,Y,0,,,,,46,,46,92,,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/3/15,IFRC,Shefa,Efate,Port Vila,portvila,"Emae Community, Fres Wota 2",,10,10,10,10,,10,,,,10,,,,,,,,,,,,,
Efate - Port Vila,VRCS,4/1/15,IFRC,Shefa,Efate,Port Vila,portvila,Emau (village),,42,42,35,84,,42,,,,42,,,,,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,,
Efate - Port Vila,VRCS,4/3/15,IFRC,Shefa,Efate,Port Vila,portvila,"Emau Community, Fres Wota 1",,29,29,29,29,,29,,,,29,,,,,,,,,,,,,
Rural Efate,VRCS,3/29/15,French Red Cross,Shefa,Efate,North Efate,emua,Emua,,3,,,,,3,,,6,,,,,,,,,,,,,,
Rural Efate,VRCS,4/2/15,French Red Cross,Shefa,Efate,North Efate,emua,Emua,Y,0,,,,,,,3,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/22/15,French Red Cross,Shefa,Efate,East Efate,epao,Epao,,100,100,200,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/30/15,French Red Cross,Shefa,Efate,East Efate,epao,Epao,Y,0,,,,33,53,,53,66,,,,,,,,,,,,,,
Rural Efate,VRCS,3/23/15,French Red Cross,Shefa,Efate,North Efate,epule,Epule,,45,45,88,,,,,,,,,,,,,,,,,,,,
Rural Efate,VRCS,3/29/15,French Red Cross,Shefa,Efate,North Efate,epule,Epule,Y,0,,,,,,,66,85,,,,,,,,,,,,,,
