place_name,mapper,lat,long
Buninga Island,buninga,-17.024000000,168.586300000
Buraoloa,buraoloa,-17.704620470,168.567266500
La Cressoniere,cresssoniere,-17.710221320,168.565421100
Ekipe,ekipe,-17.588900000,168.484800000
Emae Island,emae,-17.057000000,168.387500000
Emua,emua,-17.538400000,168.382700000
Epao,epao,-17.603600000,168.496000000
Epule,epule,-17.569600000,168.457200000
Eton,eton,-17.749600000,168.563000000
Forari,forari,-17.681000000,168.535600000
Greenhill,greenhill,-19.376200000,169.297900000
Imafen,imafen,-19.349900000,169.295900000
Karngo,karngo_maybe,-17.683850830,168.557138400
Laketam,laketam,-19.366900000,169.306400000
Lounake,lounake,-19.388380330,169.309680500
Makira Island,makira,-17.134400000,168.434800000
Malafau,malafau,-17.574239060,168.295741100
Mataso Island,mataso,-17.256900000,168.429900000
Mele,mele,-17.687800000,168.270700000
Lausake,offshore_emau_lausake,-17.492800000,168.488500000
Mangarongo,offshore_emau_mangarongo,-17.476300000,168.478700000
Mapua,offshore_emau_mapua,-17.476800000,168.495500000
Marou,offshore_emau_marou,-17.482300000,168.473400000
Ngurua,offshore_emau_ngurua,-17.488700000,168.497300000
Wiana,offshore_emau_wiana,-17.494800000,168.482600000
Sunae,offshore_moso_sunae,-17.530300000,168.287100000
Launamoa,offshore_pele_launamoa,-17.497600000,168.418000000
Pilura,offshore_pele_piliura,-17.498800000,168.402000000
Worasifiu,offshore_pele_worasifiu,-17.500500000,168.415200000
Worearu,offshore_pele_worearu,-17.485800000,168.393100000
Pang Pang,pangpang,-17.675400000,168.542900000
Paungangisiu,paungangisiu,-17.529800000,168.401900000
Poi,poi,-17.688225740,168.563232400
Port Vila,portvila,-17.738120000,168.319200000
Saama,sama,-17.543400000,168.365000000
Siviri,siviri,-17.524769290,168.324623100
Takara,takara,-17.537400000,168.448800000
Tanoliu,tanoliu,-17.570106870,168.257374800
Tongariki Island,tongariki,-17.006300000,168.618700000
Tongoa Island,tongoa,-16.891000000,168.540300000
Labay,labay,-17.683441960,168.541109600
La Mine,lamine,-17.686140520,168.535165800
Malaliu,offshore_nguna_malaliu,-17.468245134,168.372387886
"Malarei, Ne Kapa, and Udapua",offshore_nguna_malarei,-17.480607458,168.369426727
Matoa,offshore_nguna_matoa,-17.461285841,168.371315002
Mere,offshore_nguna_mere,-17.464929268,168.375005722
Taloa,offshore_nguna_taloa,-17.482244789,168.384704590
Unakapu,offshore_nguna_unakapu,-17.475040422,168.385176659
